relay,bandwidth
00089AB30F240C64687576C3EE8FC93002D9ACA0,11000
000A10D43011EA4928A35F610405F92B4433B4DC,10
000D1744F0404377DF6493B11C27AFBBCF18E67E,152
0011BD2485AD45D984EC4159C88FC066E5E3300E,40900
001791204775C0CA15E591DAC79A2917B7673F75,2100
0020D8A204A81FC8C8A1D79E2324621705DE4F2F,8190
00235364FB65D0FE5FBA028AC303B5A66DAAEDDB,7070
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,12000
003BFA1B6CC5CBEFD5D0082F8FC9AF2A8868A8FB,35000
00410438E5E2D6367AB67F9851351329714F27A6,17100
00421DC70C89C54E581AD8555A0837634A794F69,7730
00549B8014A74B42F80FF33DE24F18A855775A12,4300
005ED97213F725867E422B8DC0443361BBB24E3C,15300
0077BCBA7244DB3E6A5ED2746E86170066684887,4100
007EFD5535D894CA73DD9097D5708A86E96D4CFC,480
008196DC449482C73CFA9712445223917F760921,105
0085057C17BD2E1809E284825F06F94E72FB418C,61000
00962D2DD0B9BF3A6AF1D5EB201132388ACA1424,199
009851DF933754B00DDE876FCE4088CE1B4940C1,21
00A74E045DA680A9A40C22195D3DD7947A2AC9DB,540
00B57BF614F7ED3051073B5D4526FF0B23AF217B,51000
00BBCB897A72D87860E305A784FF36D340E53D10,4900
00C22D3BC1822EB8EA380AF04245337399E796E2,17100
00CC4AC22501360C541185EE7E4466EFB7032CAE,11000
00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,13700
00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F,7570
00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,13600
00E89DDEF944B42FD652F80C2480D5E20DF13194,10000
00EB3A12C77E70F19F66A7BBD094D62969AF350D,4100
00F1F247B391B84CB6C221720BCBFC0DFDB91117,14000
00F9FD461F78C718CA23EC6075047CFE6DE099B1,4450
0104231DE10B5F2672F4E42F146B2CBD9B0DBDB5,129
01065232B1A957210F4E0904DE3DA2ECBB1BC83A,4020
010B7728454411F485CE29D4C79A14534151C2C4,4100
0111BA9B604669E636FFD5B503F382A4B7AD6E80,35800
011668FE8270453DA534E068A5A7763A190B3F4E,3150
01181B31BE5860C7D66DA88F88AD522C06470FD9,460
0124EBA6732132A275FF6748291E895DC2866EFA,34000
012A67685F03D66B23D617ED83F8425966E9D52B,562
0136696B025AC5503847D736FE9F3D65EB27A596,1070
01384A5D9C6D34352701BF86D04E5F406CB256AE,10400
014BD09636373B78CC28BA70E36C7190E3DE236A,17000
014E24C0CD21D2B9829E841D5EC1D3C415F866BF,100000
014EDBEE966804690B097E90D79CC0837E9D6F92,4400
014EE24BCBDA160F236B2547A4639B27E303A1E7,234
016093EE4BAE9AF473FC0C811A9D10FDAA9CA34B,680
01664D41A81F817A3E71400D6BFD40947AA40AFB,7590
0170590D4481DCEA3754CEA8CA95F1C2DFAE77AF,35500
01722A60DC0EAA64D7905AD60A3242C6091E73D1,257
01729F10A81DDD8A92D770B2133082EB56C75E26,4200
01759BAA5DE5FA19E36FADAF7D9BC64C15573ABC,37300
017B08CC163424CD6ABA4ADD4042B4174D494732,77000
018DD9C3A0D2AD0FFCAE3978D89418C1B88B81D5,3690
01981F09AF08EB1EC69F91B31D89B6C76757620A,550
019C53689DAEC518D377F8AFAF5A9E6EF203A282,212
019FEB22CE04CBD0489B7F24BE038518B64FA223,15000
01AE2DE314276C82FCCC3603A1C2F3238E6544C9,22000
01B70C7C497FC8667DB5EB82C40D8F9214D6A484,49000
01CB2E297A8F586DBBCF98F028A3D1A49B0AB7BA,4
01CFCC2545234EEE523D33ED25EF1E79807A18A7,13700
01D708B4177DDDD7B9F1A41A3081F330FB8EF038,279
01D98304B9094984842040DDDE1A8CCC15EB2FF3,800
01E19A812AF0A4C9584931CD6DC3EC07CEEE3A23,8900
01E3EFC39C1FA9FF34BA5FC2553BD81621C91215,3490
01F73DBD9B56C31E3D3AAEB95F8CF1DEB7D9A72F,44800
01FC71C9D703E6824A4A8FEAB84BF3EC9A543FDE,75
01FDC8E92D3280847D856DA1F9BFC2B4CD2C2EE8,21800
01FE2137C42E4802507A1FD97B0158116FD78A8C,23500
01FF9C8571D1C09FA8D2ACCE727D5530FEC10038,22300
0205B85162A4DC0AD900E04D3AE5219A46BC20A3,8000
022A5535F42B1A9F9AA755C4EAB5F36FEF9781D8,100000
023966FBDFDBE45651CD3372A7C1F8DCCB871855,4080
023DB955544865BB4D593DE66E89B496777DF0F0,2350
023EBBC57BEB7F45473B3DC2AA811FB3AABA4466,8380
024CB57A672776B63AFF53AEEFD019C15F6758BD,7300
0251FCFDBC281666A6D492785A2D289F5664C039,1580
02648F2F135C7296A27B1F59D2AE4EEC25D9A877,2100
026DD786689D26A4C1B96ABDE3797CF01941D276,19100
02758CD398E3F842EF82478078AAAE0273770DB2,36600
027E75C92F1231AE5F7BD4E1536696FE3040C460,41500
02928855BFAD787F8B363F21860D1E7D156E0655,21000
029650EE0E3E79803B7358DC94BC9FC3A367732C,15700
029E107A59D2B4FEBD06A6115167BD6D048D9C0A,910
02C07988AB3BD99AD2A31488107330145855075F,52
02C2C534EE5B33B799750D65D07EB96BF32B9C52,246
02D5B1F63A0DD3839D9D8E705484EC6E2F5F1083,31
02D7A3058F5DBC0A02AA48BB1F0412C52DF86B92,126
02E98BBE0B12570E4E2974E2A7472B297F8D9959,331
02F250898E6213FC6B5BAEA368322BEE015AD677,11
0323CD27DA1D92D5B79AFDEEEC9EC659727CBFBB,2500
0325B91D3C32D3A24C863D5DFBED00564FAD5C64,8300
033717F1F88962109DFC15EB7BCD15936B19FC0F,8630
0338F9F55111FE8E3570E7DE117EF3AF999CC1D7,13200
034168FA4180B8662439FC714E4BDD7C6B39F5DF,3900
03504B8C25722FD3FC4F222A9202AD045794A551,2080
035485A94591505E17683D2A350318DE2C384BAA,5380
0367E1FFAB716AC3F418CFB7CBB3BDB9403CD9CB,2800
036A7CD36D6F7A97C7B4AF896D9F11AB719F0DF7,8800
036EFD2E61DEA3D2FEE59861BA4245E4DE864112,26000
037B6C60DAD4DF32FDA29BF458D5C8C816AA8F3E,17000
037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B,7960
038C30D2AD053147C91EFB1291527ED621D7D1B1,11900
039003C320D9980E0A740F107A1A9C13C99C5FE3,750
03910F285A33F365838EC66EF2C2EF754D046760,87300
03A6C11856113883CE89F7421CE74F3B4180B504,4900
03C3069E814E296EB18776EB61B1ECB754ED89FE,3300
03D2E0B37A0F07408FD87F69E4A9928DEDE3405B,4200
03DA20FD71CED188C8B7652E81941C506724DBA6,67
03DC081E4409631006EFCD3AF13AFAAF2B553FFC,7030
03E0F4EE272731601773F48E64240D3A8896A5E3,58000
03E2C7C0ECA4B8012D7C45D12320306E350DD5F8,311
03E9F7E669C8F911C5EEC3EC094533151F857420,3180
03EE7DDD931D92BB57B81B3038AE7C40A08AB237,1090
03F13CB53967B08621145928AD284287836E348A,810
03F26766F14B0B7B5D22461083807D313429A34F,3500
03F8AC223A5F980FC136FC1DBDDD60B60EE64998,1970
03FC5C52D9A4577F28762E7BE642BB5A8F1E9803,414
03FF94D9E5001DD2290BC3B19FA7F59CE1E30279,4
040085FFE1E88CF48AB0B5B2AB39035758C65F0C,690
0409605E8343562A790FFE846CB3BD7C04429F70,8100
040A7442349A2AC92233C2470D6C4F2BD02EDF15,4800
04115320D11E2583EC3F7F944AD2D419F9B84102,25
041646640AB306EA74B001966E86169B04CC88D2,9000
041E3FCC0262E5AF1AA2EC89A135658C07C0D9A9,1300
042BCDF2D36D7AEE070E086DAD4B57F27B2F1143,239
044E01E0D70E00A1F143C48039C88399F2671AE4,0
0459DAA497FCB7A3BB62A6CC8A4D71964EB21842,13000
04659E888DF5E2B74B4C33270AB020B92DF7E870,7040
046A2841A526E3D5690ED33D568E9891C39503D8,3700
046F2D59A85FAE693676A87533717C57436261C2,26300
047F0F8FCE4DBBF40151E485249DD2D77089C9B4,186
0485027A0A349D454D978F6C1CECDD29EA17769A,19000
048A0B128BEB5858CC3CA8467B801348BE45BADC,11800
049C1168996B33B2240DF6D83C35B85452CF70A6,11000
04A28A62F27D9C4A60F9ED0C4264E98B988C65A3,13000
04A97F5BDA4A25CA5AD6F1FEB85F7EC0DECC63C2,15000
04B7E970580F21BE8BABF0CC9A23D2CBFC222295,44
04C3468BE24740347CBCC00534C940DBCBCABC82,29500
04D43BA590B07B8E540C978A5D05200D8E9BDEC3,12100
04D8246A25D209B51D9EAFECD798E019CF5404BD,5900
04D9CEA8D778ABA130B014F758C2BCADD31DA05E,7900
04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754,25000
04E3B5925EB5F66C6EC810A3D7702E0CA3F9D5E7,25000
04EE5E1B23127D26A36F71C66810D88B0B80BB91,2000
0503E7EB7B9E905E9B69FDACEB98C9110A89B105,10
05051AA95FB65C64E6A99FC0963CEDEB211C88BA,23800
050689F70B3BD4CDE2B5CF5F46632DBB7759F3EB,16000
050E615D82FD3A5660CFE6A38556C9F6178C1E57,3510
0512FE6BE9CCA0ED133152E64010B2FBA141EB10,19400
0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED,27000
0516A1A5836825F58848D47B91F47CB593B58D54,598
051D68F480E3FEBFC252294E722DE6C5462DA3B9,162
05299E38F266FF4AFBBAF67B4502B712CE28C339,5
052A8EB01D260B9A613F4E1C6AB50031DADD4B65,798
05360E955C4C4C51CBA140DFDDFC8BDE2ACF6244,11800
05402AEC738554C5308FB07CA68961D5326D5D4A,5900
