website,reps,mean,standard deviation
apple.com,37,0.6307067677781388,1.7718482368317106
youtube.com,37,0.44294319926081477,0.26666926401681024
play.google.com,37,0.43322302844073324,0.23589497304863158
support.google.com,37,0.4335715706283982,0.18297557302684972
linkedin.com,37,0.5087588864403803,0.2190630280963311
www.blogger.com,37,0.48047331217172984,0.23329318521212628
microsoft.com,37,0.657366739737021,0.2675506907252653
en.wikipedia.org,37,0.50946180240528,0.2232125944897067
adobe.com,37,0.7347962469668001,0.6106984118282631
cloudflare.com,37,0.3830678269669816,0.16720812171449131
wordpress.org,37,0.5562727902386639,0.13810560007973247
maps.google.com,37,0.8807690272460112,0.5581636312309838
youtu.be,37,0.39752007819510793,0.23387008236677806
docs.google.com,37,0.4558996058799125,0.16598897865649379
vimeo.com,37,0.42541362143851613,0.1576879323464703
plus.google.com,37,0.38675208993860194,0.18497099902058414
sites.google.com,37,0.4696397459184801,0.16625185025282666
mozilla.org,37,0.6696688033439018,0.1793720783828707
accounts.google.com,37,0.6046554977829391,1.19047998199814
europa.eu,37,0.8716217827152561,1.2353191889777846
drive.google.com,37,0.3884827832917909,0.13115611510047662
bbc.co.uk,37,0.3663962596171611,0.19980359873867182
medium.com,37,1.1376381500347241,0.47527481740794114
github.com,37,0.44268548810804215,0.21232110089529893
es.wikipedia.org,37,0.5399550618352117,0.20815494721380454
pt.wikipedia.org,37,0.51876196990142,0.18423449565815214
facebook.com,37,0.39784163397711675,0.24849661666838407
amazon.com,37,0.5200983253685204,0.19329162503579086
uol.com.br,37,0.9484225672644537,0.24404051599049806
istockphoto.com,37,0.38113192609838537,0.20118866319967516
vk.com,37,0.531866859745335,0.3164159644115451
brandbucket.com,37,0.5153495878786654,0.8372076444462448
creativecommons.org,37,0.8736169724851042,0.973803100525848
google.com.br,37,0.8886823074237721,2.6042006377490883
theguardian.com,37,0.5465216636657715,0.692988059032466
paypal.com,37,0.4326839575896392,0.2703856130351474
opera.com,37,0.5259235614054912,0.34998857161795277
dailymotion.com,37,0.7836980239765065,1.6295984891123931
dropbox.com,37,0.5939330990250046,0.7315148786116444
mail.ru,37,0.6440979145668648,0.5156888452807135
whatsapp.com,37,0.48496629740740804,0.4193945376196037
imdb.com,37,0.5723315380715035,0.30401231529069755
globo.com,37,1.2756095383618329,0.9340361801652278
policies.google.com,37,0.5324170911634291,0.44449832289586083
developers.google.com,37,1.0433124787098653,3.1583728916991913
abril.com.br,37,0.5808457619435078,0.30739431305992865
slideshare.net,37,0.5840977591437262,0.2394168765067588
wikimedia.org,37,0.48153418463629644,0.20130459053610414
msn.com,37,0.5017434326378075,0.14613112243976364
forbes.com,37,0.3549020934749294,0.15466461639360407
google.es,37,0.3449355073877283,0.13724291922589663
w3.org,37,0.649618793178249,0.21359387835864288
gstatic.com,37,0.4107073448799752,0.22046642733753183
mail.google.com,37,0.38697219539333033,0.19699541096051063
mediafire.com,37,0.3828482498993745,0.18523631097951285
issuu.com,37,0.7528350031053698,0.9696936308611072
get.google.com,37,0.38349669688456767,0.1655737630122423
nytimes.com,37,0.4241055411261481,0.247612700229666
jimdofree.com,37,0.3679271324260815,0.1899152674451826
hugedomains.com,37,0.41660978343035726,0.3147261552226295
google.co.jp,37,0.46553444217991186,0.23265649081222903
www.yahoo.com,37,0.5043107754475361,0.26819944246129407
myspace.com,37,0.5704434240186537,0.22633905509429006
google.de,37,0.4051868657808046,0.19620717671684884
reuters.com,37,0.6261062428757951,0.25273295079496283
fr.wikipedia.org,37,0.546752794368847,0.24939641215033645
feedburner.com,37,0.534419381940687,0.23427321404479004
bbc.com,37,0.4264641259167645,0.32346744748047507
news.google.com,37,0.5256357064118257,1.2391538907963628
cnn.com,37,0.706115368250254,1.886274638723454
t.me,37,0.3715518229716533,0.2629154723224881
live.com,37,0.4208093205013791,0.23815325489998218
scribd.com,37,0.4157492019034721,0.3051884581549779
cpanel.com,37,0.7688769069877831,0.2550480080877732
ft.com,37,0.36365137229094635,0.23810999286909598
usatoday.com,37,0.38049426594296015,0.1662612591132543
themeforest.net,37,0.554549926036113,0.8324090191858983
translate.google.com,37,0.420037875304351,0.26263767742361893
indiatimes.com,37,0.4688021685626056,0.3404480645652138
lefigaro.fr,37,0.44477302963669235,0.24037172716782743
amazon.co.jp,37,0.7243556783005998,0.36928580244033254
dailymail.co.uk,37,0.4316197665962013,0.2976670711272334
washingtonpost.com,37,0.5734700898866396,0.8294720111238617
id.wikipedia.org,37,0.5960029524725836,0.2929957074567609
webmd.com,37,0.5696736155329524,0.23983350315440963
dan.com,37,0.4894885694658434,0.40682116536684715
afternic.com,37,0.7025576088879559,0.31994855813954126
draft.blogger.com,37,0.48336456917427684,0.3271074462742
youronlinechoices.com,37,0.41402299339706833,0.22142074909062895
www.weebly.com,37,0.715908044093364,0.3530835608900061
files.wordpress.com,37,0.5283597288904963,0.8443047510814048
google.co.uk,37,0.38776852633502035,0.24616304225958716
thesun.co.uk,37,0.38458499392947637,0.2331852795995305
google.it,37,0.41556474324819204,0.21299744533519768
myaccount.google.com,37,0.4092011580596099,0.22135923331051618
fandom.com,37,0.3743544591439737,0.22567110492203318
independent.co.uk,37,0.3735734127663277,0.2728900919625907
namecheap.com,37,0.6248895026542045,0.2918198129357897
